"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"1","Global","Urban","Global",1212318.45772333,1401823.98365598,1734465.13913116,1813760.56605591
"2","Global","Cropland","Global",18368479.4632731,20190505.1273368,20615536.6322952,20710729.9952519
"3","Global","Secondary_vegetation","Global",15375309.0698891,24533039.9126342,33824415.0988056,34642740.8055166
"4","Global","Permanent_crops","Global",0,0,0,0
"5","Global","Pasture","Global",35312155.0160676,31323369.8137793,24999118.3047759,25285373.9340515
"6","Global","Primary_vegetation","Global",79868998.6892586,72691268.7881967,68966472.4506349,67687402.3341227
"7","Africa","Urban","Region",75201.4498245873,103693.967768402,167748.665371584,202004.768007333
"8","Americas","Urban","Region",331430.127620937,378697.858951475,452236.832035284,477583.683212173
"9","Antarctica","Urban","Region",0,0,0,0
"10","Asia and the Pacific","Urban","Region",219877.100642208,269104.916646707,348331.009827612,345272.880182316
"11","Europe and Central Asia","Urban","Region",174816.687473467,194692.890532007,223416.179379731,223233.080003028
"12","Africa","Cropland","Region",3005227.04880833,3764524.28752541,5037847.87818632,5296324.77488145
"13","Americas","Cropland","Region",4213027.702148,4502551.20638971,4213758.47139604,4124026.80919887
"14","Antarctica","Cropland","Region",0,0,0,0
"15","Asia and the Pacific","Cropland","Region",5767191.06000068,6132657.72290222,5899179.34894257,5877798.41700166
"16","Europe and Central Asia","Cropland","Region",3638309.8994132,3805489.55140055,3521153.53988318,3492786.68843084
"17","Africa","Secondary_vegetation","Region",1984905.63706619,3083594.74533346,3765579.0772586,3657677.86817447
"18","Americas","Secondary_vegetation","Region",3867305.48745467,7013282.92783703,11017277.7169923,11148490.434523
"19","Antarctica","Secondary_vegetation","Region",0,0,0,0
"20","Asia and the Pacific","Secondary_vegetation","Region",3528545.5739558,5921354.07433563,7373946.80174427,7783919.89635693
"21","Europe and Central Asia","Secondary_vegetation","Region",3739656.29159606,5376034.88860038,7457334.4423034,7643873.31809279
"22","Africa","Permanent_crops","Region",0,0,0,0
"23","Americas","Permanent_crops","Region",0,0,0,0
"24","Antarctica","Permanent_crops","Region",0,0,0,0
"25","Asia and the Pacific","Permanent_crops","Region",0,0,0,0
"26","Europe and Central Asia","Permanent_crops","Region",0,0,0,0
"27","Africa","Pasture","Region",8636218.53356893,7734840.67317717,5954677.50719017,5816467.37395149
"28","Americas","Pasture","Region",8464164.73800452,6882265.02815918,4657627.00366778,5049716.98038691
"29","Antarctica","Pasture","Region",0,0,0,0
"30","Asia and the Pacific","Pasture","Region",11359795.6261545,10970740.6322475,9982174.64066656,9778228.28344793
"31","Europe and Central Asia","Pasture","Region",4639484.54125118,4008505.35401137,3173889.9436734,3368316.40952407
"32","Africa","Primary_vegetation","Region",16157140.9158906,15172039.9080245,14932840.4550385,14886218.8007909
"33","Americas","Primary_vegetation","Region",23592904.155641,21692035.1913894,20127932.1821633,19669014.302333
"34","Antarctica","Primary_vegetation","Region",1519.04416943512,1519.04416943512,1519.04416943512,1519.04416943512
