"","zone","entity","zone_type","area_2020","area_2030","area_2050","area_2070"
"1","Global","Urban","Global",1251179.74759292,1528157.0629106,1810457.25878989,1933913.90092517
"2","Global","Cropland","Global",18065267.2529685,19041518.2420673,20642791.8226874,21694558.1003283
"3","Global","Secondary_vegetation","Global",10463005.1941828,10511048.2803394,12163115.9171538,12758107.746652
"4","Global","Permanent_crops","Global",0,0,0,0
"5","Global","Pasture","Global",34593490.808037,35088399.6537429,35426756.8136999,36375307.1477244
"6","Global","Primary_vegetation","Global",85741746.4080952,83942887.6797374,80068889.0962513,77350124.0293162
"7","Africa","Urban","Region",78463.7709326361,108620.896055436,157539.540719331,186530.64994754
"8","Americas","Urban","Region",335218.919668294,398653.811002982,462789.906059771,493479.352432495
"9","Antarctica","Urban","Region",0,0,0,0
"10","Asia and the Pacific","Urban","Region",218866.319250798,269176.2306255,328177.408080689,348224.61446681
"11","Europe and Central Asia","Urban","Region",174915.094049683,190956.016470262,209865.785560984,213537.524543944
"12","Africa","Cropland","Region",2993280.83840186,3527756.55608375,4272260.98120048,4700908.7916224
"13","Americas","Cropland","Region",3955809.70888403,4009729.72325678,4548582.05200929,5005008.72542905
"14","Antarctica","Cropland","Region",0,0,0,0
"15","Asia and the Pacific","Cropland","Region",5670689.55619527,5856708.57487356,6045187.25558521,6057372.2950182
"16","Europe and Central Asia","Cropland","Region",3638027.09916921,3656691.79518811,3674943.41081561,3778601.92708154
"17","Africa","Secondary_vegetation","Region",1865800.71165525,1981744.0762461,1934591.1570903,1805353.98292569
"18","Americas","Secondary_vegetation","Region",2905593.06093931,2800689.59639182,3377746.26813923,3670379.69587629
"19","Antarctica","Secondary_vegetation","Region",0,0,0,0
"20","Asia and the Pacific","Secondary_vegetation","Region",2047731.89643372,2049131.61109015,2304010.91155011,2385287.8069216
"21","Europe and Central Asia","Secondary_vegetation","Region",2568986.00190815,2662718.42070861,3242945.38956443,3483791.45048878
"22","Africa","Permanent_crops","Region",0,0,0,0
"23","Americas","Permanent_crops","Region",0,0,0,0
"24","Antarctica","Permanent_crops","Region",0,0,0,0
"25","Asia and the Pacific","Permanent_crops","Region",0,0,0,0
"26","Europe and Central Asia","Permanent_crops","Region",0,0,0,0
"27","Africa","Pasture","Region",8486505.40630507,8560926.63043602,8576362.43466126,8587742.06331018
"28","Americas","Pasture","Region",8228159.39092604,8348057.11149516,8702200.18068979,9530560.38996176
"29","Antarctica","Pasture","Region",0,0,0,0
"30","Asia and the Pacific","Pasture","Region",10668341.872051,10847510.4783961,10840629.0752197,10892466.9906884
"31","Europe and Central Asia","Pasture","Region",4533792.34620919,4605330.72119731,4609333.08917586,4618318.12750852
"32","Africa","Primary_vegetation","Region",16437718.7495101,15679645.4133152,14917939.4609236,14578158.0962923
"33","Americas","Primary_vegetation","Region",25049877.8186755,24911701.9708696,23377513.7910274,21769404.043124
