"","zone","entity","zone_type","year_comparison","area_0","area_1","delta_area"
"1","Global","Urban","Global","2020_2030",1212318.45772333,1457800.02352386,245481.565800534
"2","Global","Urban","Global","2020_2050",1212318.45772333,1960314.17046939,747995.712746057
"3","Global","Urban","Global","2020_2070",1212318.45772333,2051144.22785628,838825.770132947
"4","Africa","Urban","Region","2020_2030",75201.4498245873,107498.692337187,32297.2425125997
"5","Africa","Urban","Region","2020_2050",75201.4498245873,187205.623361913,112004.173537326
"6","Africa","Urban","Region","2020_2070",75201.4498245873,225631.687601486,150430.237776899
"7","Americas","Urban","Region","2020_2030",331430.127620937,388065.256982764,56635.1293618262
"8","Americas","Urban","Region","2020_2050",331430.127620937,507704.833360651,176274.705739714
"9","Americas","Urban","Region","2020_2070",331430.127620937,536160.057513298,204729.929892361
"10","Antarctica","Urban","Region","2020_2030",0,0,0
"11","Antarctica","Urban","Region","2020_2050",0,0,0
"12","Antarctica","Urban","Region","2020_2070",0,0,0
"13","Asia and the Pacific","Urban","Region","2020_2030",219877.100642208,277011.672947748,57134.5723055397
"14","Asia and the Pacific","Urban","Region","2020_2050",219877.100642208,392329.450993339,172452.350351131
"15","Asia and the Pacific","Urban","Region","2020_2070",219877.100642208,389957.011808772,170079.911166563
"16","Europe and Central Asia","Urban","Region","2020_2030",174816.687473467,197007.834138187,22191.146664719
"17","Europe and Central Asia","Urban","Region","2020_2050",174816.687473467,250445.318682546,75628.631209079
"18","Europe and Central Asia","Urban","Region","2020_2070",174816.687473467,250044.667039292,75227.9795658243
"19","Africa","Cropland","Region","2020_2030",3005227.04880833,933123.93171825,-2072103.11709008
"20","Africa","Cropland","Region","2020_2050",3005227.04880833,974320.690129119,-2030906.35867922
"21","Africa","Cropland","Region","2020_2070",3005227.04880833,652835.171695554,-2352391.87711278
"22","Americas","Cropland","Region","2020_2030",4213027.702148,3057646.31100222,-1155381.39114579
"23","Americas","Cropland","Region","2020_2050",4213027.702148,2523616.79427749,-1689410.90787051
"24","Americas","Cropland","Region","2020_2070",4213027.702148,2436313.56986771,-1776714.13228029
"25","Antarctica","Cropland","Region","2020_2030",0,0,0
"26","Antarctica","Cropland","Region","2020_2050",0,0,0
"27","Antarctica","Cropland","Region","2020_2070",0,0,0
"28","Asia and the Pacific","Cropland","Region","2020_2030",5767191.06000068,4595101.02523098,-1172090.03476969
"29","Asia and the Pacific","Cropland","Region","2020_2050",5767191.06000068,4124138.76433138,-1643052.29566929
"30","Asia and the Pacific","Cropland","Region","2020_2070",5767191.06000068,2841546.43410154,-2925644.62589914
"31","Europe and Central Asia","Cropland","Region","2020_2030",3638309.8994132,3914584.71216895,276274.812755759
"32","Europe and Central Asia","Cropland","Region","2020_2050",3638309.8994132,3593400.31739349,-44909.5820197077
"33","Europe and Central Asia","Cropland","Region","2020_2070",3638309.8994132,3451043.41988122,-187266.479531975
"34","Africa","Secondary_vegetation","Region","2020_2030",1984905.63706619,3361125.22665955,1376219.58959336
"35","Africa","Secondary_vegetation","Region","2020_2050",1984905.63706619,4019322.06073636,2034416.42367018
"36","Africa","Secondary_vegetation","Region","2020_2070",1984905.63706619,4518427.32133806,2533521.68427188
"37","Americas","Secondary_vegetation","Region","2020_2030",3867305.48745467,6843174.5805585,2975869.09310383
"38","Americas","Secondary_vegetation","Region","2020_2050",3867305.48745467,9221389.62996405,5354084.14250938
"39","Americas","Secondary_vegetation","Region","2020_2070",3867305.48745467,9695367.70144282,5828062.21398815
"40","Antarctica","Secondary_vegetation","Region","2020_2030",0,0,0
"41","Antarctica","Secondary_vegetation","Region","2020_2050",0,0,0
"42","Antarctica","Secondary_vegetation","Region","2020_2070",0,0,0
"43","Asia and the Pacific","Secondary_vegetation","Region","2020_2030",3528545.5739558,5633634.80311568,2105089.22915988
"44","Asia and the Pacific","Secondary_vegetation","Region","2020_2050",3528545.5739558,6682419.91364853,3153874.33969273
"45","Asia and the Pacific","Secondary_vegetation","Region","2020_2070",3528545.5739558,7448558.90710053,3920013.33314472
"46","Europe and Central Asia","Secondary_vegetation","Region","2020_2030",3739656.29159606,5351660.06332086,1612003.7717248
"47","Europe and Central Asia","Secondary_vegetation","Region","2020_2050",3739656.29159606,6712053.84668482,2972397.55508877
"48","Europe and Central Asia","Secondary_vegetation","Region","2020_2070",3739656.29159606,7169597.88652425,3429941.5949282
"49","Africa","Permanent_crops","Region","2020_2030",0,2674090.61255956,2674090.61255956
"50","Africa","Permanent_crops","Region","2020_2050",0,3218890.22009038,3218890.22009038
"51","Africa","Permanent_crops","Region","2020_2070",0,3846704.7996431,3846704.7996431
"52","Americas","Permanent_crops","Region","2020_2030",0,1469643.26435293,1469643.26435293
"53","Americas","Permanent_crops","Region","2020_2050",0,1367366.4837458,1367366.4837458
"54","Americas","Permanent_crops","Region","2020_2070",0,1423254.6744565,1423254.6744565
"55","Antarctica","Permanent_crops","Region","2020_2030",0,0,0
"56","Antarctica","Permanent_crops","Region","2020_2050",0,0,0
"57","Antarctica","Permanent_crops","Region","2020_2070",0,0,0
"58","Asia and the Pacific","Permanent_crops","Region","2020_2030",0,1376443.31413155,1376443.31413155
"59","Asia and the Pacific","Permanent_crops","Region","2020_2050",0,1428152.22465716,1428152.22465716
"60","Asia and the Pacific","Permanent_crops","Region","2020_2070",0,2597123.29101402,2597123.29101402
"61","Europe and Central Asia","Permanent_crops","Region","2020_2030",0,0,0
"62","Europe and Central Asia","Permanent_crops","Region","2020_2050",0,0,0
"63","Europe and Central Asia","Permanent_crops","Region","2020_2070",0,0,0
"64","Africa","Pasture","Region","2020_2030",8636218.53356893,8327034.53134884,-309184.002220092
"65","Africa","Pasture","Region","2020_2050",8636218.53356893,7211224.57802846,-1424993.95554047
"66","Africa","Pasture","Region","2020_2070",8636218.53356893,6440494.1186919,-2195724.41487702
"67","Americas","Pasture","Region","2020_2030",8464164.73800452,7685842.96991866,-778321.768085859
"68","Americas","Pasture","Region","2020_2050",8464164.73800452,6644603.06831882,-1819561.6696857
"69","Americas","Pasture","Region","2020_2070",8464164.73800452,6893226.31598672,-1570938.4220178
"70","Antarctica","Pasture","Region","2020_2030",0,0,0
"71","Antarctica","Pasture","Region","2020_2050",0,0,0
"72","Antarctica","Pasture","Region","2020_2070",0,0,0
"73","Asia and the Pacific","Pasture","Region","2020_2030",11359795.6261545,11318207.9530757,-41587.6730787735
"74","Asia and the Pacific","Pasture","Region","2020_2050",11359795.6261545,10860845.1299277,-498950.496226832
"75","Asia and the Pacific","Pasture","Region","2020_2070",11359795.6261545,10536561.0243524,-823234.60180207
"76","Europe and Central Asia","Pasture","Region","2020_2030",4639484.54125118,4373731.78941778,-265752.751833402
"77","Europe and Central Asia","Pasture","Region","2020_2050",4639484.54125118,3948530.79339955,-690953.747851633
"78","Europe and Central Asia","Pasture","Region","2020_2070",4639484.54125118,3956567.57945919,-682916.961791998
"79","Africa","Primary_vegetation","Region","2020_2030",16157140.9158906,14455820.5778283,-1701320.33806227
"80","Africa","Primary_vegetation","Region","2020_2050",16157140.9158906,14247730.4083799,-1909410.50751076
"81","Africa","Primary_vegetation","Region","2020_2070",16157140.9158906,14174600.4887363,-1982540.42715427
"82","Americas","Primary_vegetation","Region","2020_2030",23592904.155641,21024459.8310732,-2568444.32456784
"83","Americas","Primary_vegetation","Region","2020_2050",23592904.155641,20204151.4080285,-3388752.74761255
"84","Americas","Primary_vegetation","Region","2020_2070",23592904.155641,19484509.8871454,-4108394.26849569
"85","Antarctica","Primary_vegetation","Region","2020_2030",1519.04416943512,1519.04416943512,0
"86","Antarctica","Primary_vegetation","Region","2020_2050",1519.04416943512,1519.04416943512,0
"87","Antarctica","Primary_vegetation","Region","2020_2070",1519.04416943512,1519.04416943512,0
"88","Asia and the Pacific","Primary_vegetation","Region","2020_2030",13829031.3362543,11504041.9276597,-2324989.40859464
"89","Asia and the Pacific","Primary_vegetation","Region","2020_2050",13829031.3362543,11216555.2201039,-2612476.11615049
"90","Asia and the Pacific","Primary_vegetation","Region","2020_2070",13829031.3362543,10890694.032154,-2938337.30410036
"91","Europe and Central Asia","Primary_vegetation","Region","2020_2030",15629256.8462515,13986758.8365962,-1642498.00965529
"92","Europe and Central Asia","Primary_vegetation","Region","2020_2050",15629256.8462515,13319312.9511131,-2309943.89513838
"93","Europe and Central Asia","Primary_vegetation","Region","2020_2070",15629256.8462515,12996489.6753141,-2632767.17093738
"94","Antarctica","Urban","Sub_Region","2020_2030",0,0,0
"95","Antarctica","Urban","Sub_Region","2020_2050",0,0,0
"96","Antarctica","Urban","Sub_Region","2020_2070",0,0,0
"97","Caribbean","Urban","Sub_Region","2020_2030",7253.26436053912,9489.80361265672,2236.5392521176
"98","Caribbean","Urban","Sub_Region","2020_2050",7253.26436053912,12595.6579991232,5342.3936385841
"99","Caribbean","Urban","Sub_Region","2020_2070",7253.26436053912,13365.5453930218,6112.28103248272
"100","Central Africa","Urban","Sub_Region","2020_2030",6592.7466149499,9659.73014922251,3066.98353427261
"101","Central Africa","Urban","Sub_Region","2020_2050",6592.7466149499,18891.3411936713,12298.5945787214
"102","Central Africa","Urban","Sub_Region","2020_2070",6592.7466149499,23440.4236686476,16847.6770536977
"103","Central Asia","Urban","Sub_Region","2020_2030",9754.24428582673,13352.4650233504,3598.22073752367
"104","Central Asia","Urban","Sub_Region","2020_2050",9754.24428582673,21202.3893686546,11448.1450828279
"105","Central Asia","Urban","Sub_Region","2020_2070",9754.24428582673,21367.857581392,11613.6132955653
"106","Central and Western Europe","Urban","Sub_Region","2020_2030",130199.964224349,146854.837364931,16654.8731405825
"107","Central and Western Europe","Urban","Sub_Region","2020_2050",130199.964224349,188529.472727019,58329.5085026701
"108","Central and Western Europe","Urban","Sub_Region","2020_2070",130199.964224349,193736.071227985,63536.1070036368
"109","East Africa and adjacent islands","Urban","Sub_Region","2020_2030",10613.7261662809,15725.3334711636,5111.60730488271
"110","East Africa and adjacent islands","Urban","Sub_Region","2020_2050",10613.7261662809,31388.0119007452,20774.2857344643
"111","East Africa and adjacent islands","Urban","Sub_Region","2020_2070",10613.7261662809,39115.3932980762,28501.6671317953
"112","Eastern Europe","Urban","Sub_Region","2020_2030",34862.4789632923,36800.5317499051,1938.05278661282
"113","Eastern Europe","Urban","Sub_Region","2020_2050",34862.4789632923,40713.4565868729,5850.97762358055
"114","Eastern Europe","Urban","Sub_Region","2020_2070",34862.4789632923,34940.7382299145,78.2592666222263
"115","Mesoamerica","Urban","Sub_Region","2020_2030",20207.9990234436,24096.8987484322,3888.89972498859
"116","Mesoamerica","Urban","Sub_Region","2020_2050",20207.9990234436,31806.7200095609,11598.7209861174
"117","Mesoamerica","Urban","Sub_Region","2020_2070",20207.9990234436,30868.2296848082,10660.2306613647
"118","North Africa","Urban","Sub_Region","2020_2030",19466.2252728997,27178.6119874951,7712.38671459534
"119","North Africa","Urban","Sub_Region","2020_2050",19466.2252728997,42837.2723910323,23371.0471181326
"120","North Africa","Urban","Sub_Region","2020_2070",19466.2252728997,46852.9087197007,27386.683446801
"121","North America","Urban","Sub_Region","2020_2030",244961.294831706,285758.927449878,40797.6326181718
"122","North America","Urban","Sub_Region","2020_2050",244961.294831706,379410.770874938,134449.476043232
